EncryptedText,Shift
"hFpfhIai,wUeuwXpx,15",2
"vugZZzCZLSl,sr",2
"yHMqYiBmoVSjUtgT,uDImUeXikROfQpcP,22",3
"IlzvukrbLumqCmsOGlS,Fiwsrh",1
"hXHZyyv K,eUEWv",8
"CncfDzrPEnRROwk op,ZkzcAwoMBkOOLth lm,23",17
"OVa svk,VCh z",11
"FPrLerdYGWxG,BLnHanzUCStC,22",4
"JlyEMvaPB,XzmSAjoDP,14",17
"tGXipVU NIfzZgKeWyy,uHYjqWV OJgaAhLfXzz,1",10
uuySyqlRVC,12
"HqruPCqKalLhzculsanQ,YhilGThB",5
"FktVXAPdYXeP,PudFHKZnIHoZ,10",8
"AJfZ ,QZvP ,16",20
"JzzkowHalH,ZppaemXqbX,16",8
"fgvKFc,yzoDYv,19",7
"tNFQYuuelXCIGRmT,oIALTppzgSXDBMhO,21",3
"wsffgB,zviijE,3",15
"gyypxzvysLY,jbbsacybvOB,3",7
"DPWuGmMua,PBIgSyYgm,12",1
"cvnFwrLcZUgGDxxGThpu,mfxPgbVmJEqQNhhQDr",12
"vDgJXoIfGh,bJmPDuOlMn,6",19
"nIwacUhyGZ,eZnrtLypXQ,17",4
"cfrQlgadnaGfM HFlhUT,xamLgbvyivBaH CAgcPO,21",11
"qRuXzCpvfuSXY,mNqTvYlrbqOTU,22",16
"Btfh HWwzdgbTFZ,Ldpr RGg",15
"ExcSlhXybY,OhmCvrHilI,10",16
"DqhyWVSIR,KxofDC",5
"FTBgHSh,PDLqRCr,10",21
UnIztpJedX,17
"MmL KizBjomDxj,QqP OmdFnsqHbn,4",3
"DqdGhyhjAnYI,FsfIjajl",19
"IfiSB OSUhO xSyPKSx,UruEN AEGtA jEkBWEj,12",17
"UQISSf,GCUEEr,12",7
DLswDUuSjOQCDKYbW,15
TqyCtNTDvqoUthIAgo,8
MLyaIokeOFWUMXk,15
"DCINd,JIOTj,6",18
"iCTsqL,cWNmkF,20",7
"ZTOlijGsdEqTcIhTAA,KEZwt",1
"Uqobjrr,Iecpxff,14",13
"zVCigj IRDhfFobe,vR",21
"KpjbyLASqek,YdxpmZOGesy,14",22
"SlDCvuZGbRIKGDb,KdVUnmRYtJ",8
"DWHhx,PITtj,12",2
"MpkW wosl,LojV vnr",6
"phWeoP,hzOwgH,18",22
"dUdaShcTFxCABeGQo,sJspHwrIUmRPQtVFd,15",6
"yiZeUuqzBnFkQ,wgXcSsoxZlDiO,24",11
"NbHQMC,XlRAWM,10",19
"cynnNyj,lhwwWhs,9",12
SOuhuzeWZhUnwor,7
"WbbiomcGAuhMHthymqH,ChhousiMGanSNzneswN,6",8
"zCqEoYlb,nQeSc",18
"qNiCPGhfGTVlDrLYbWsf,uRmGTKlj",13
"DdU tyzcY,IiZ ydehD,5",21
"wrhRCAyyfQOOSyBi,idtDOMkkrCAAEkNu,12",24
"vjkjtWe dZSCDJCdB,rfgf",10
"AYktlu,QOajbk,16",13
"xuveWLyGogNWvMW,kh",4
WUNZiwfswhhYGMWue,21
"uMR mNDwKSnPTNbMfra,qIN iJZsGO",9
