Plaintext,Ciphertext,Shift Key
hTckXECunKeb,bNweRYWohEyv,20
ErUtaHkcROQoY,ObEdkRumBYAyI,10
KLYunTqMhx,RSFbuAxToe,7
WrJLWQjUc,FaSUFZsDl,9
XsdptZAtWlgq J,ZufrvBCvYnis L,2
PwwriddyMhI,MttofaavJeF,23
WlKJNXFCxZtly,EtSRVFNKfHbtg,8
FahCqkY,ZubWkeS,20
NkZpQqR,ZwLbCcD,12
jdFMGfcdPhAxRdYOx,pjLSMlijVnGdXjEUd,6
dIvlsprJUpMneD,fKxnurtLWrOpgF,2
XfptTsixQqS,DlvzZyodWwY,6
iAfRFmvpPcQsi,lDiUIpysSfTvl,3
GRxzKx,WHnpAn,16
JISgYlyCD,ONXlDqdHI,5
LcaqQFvjIZwSSa,BsqgGVlzYPmIIq,16
qusOG,dhfBT,13
FSnORysj,YLgHKrlc,19
qbiUpRUriP,alsEzBEbsZ,10
aw lHpNi LKjHYNs,gc rNvTo RQpNETy,6
CDCShdJyZfCHqdBrM,DEDTieKzAgDIreCsN,1
NnyqdwMTOhnDYm,IitlyrHOJciYTh,21
 TdnTXrcdYwvkNcmZh, OyiOSmxyTrqfIxhUc,21
 wUqqFxpAJjHJb, gEaaPhzKTtRTl,10
exCCHSkboaKBtWGuC,wpUUZKctgsCTlOYmU,18
CHjTGglZzNeKCIaafSk,YDfPCchVvJaGYEwwbOg,22
hHBPquxESxAvOD,pPJXycfMAfIdWL,8
NULRsoHvRmF,DKBHieXlHcV,16
vLBdcswuNFYfACw,aQGihxbzSKDkFHb,5
rQaHaiEkNQyuSGy Z,dCmTmuQwZCkgESk L,12
XWQsMqmUI,QPJlFjfNB,19
GArQMauSx,DXoNJxrPu,23
StvRSxKkQauYncMV,LmoKLqDdJtnRgvFO,19
YjiAFON,EpoGLUT,6
gf SNP,po BWY,9
zExmoeWWalJsmf,kPixzpHHlwUdxq,11
hV pVv,oC wCc,7
SFLwcQiiSVkf,LYEpvJbbLOdy,19
QGtEOiYRMIPtvQOVoh,DTgRBvLEZVCgiDBIbu,13
dNvZbmqxoIDHG,qAiMozdkbVQUT,13
oiZNhNpxvmabPnzLmH,keVJdJltriwxLjvHiD,22
jbRXElLczzN,meUAHoOfccQ,3
QyPCIujgMKeiclWTZhiI,FnERXjyvBZtxraLIOwxX,15
pLadfmGcRpBgpVJfz,aWloqxRnCaMraGUqk,11
XGTKiAcQYbbqvhEbiXk,KTGXvNpDLoodiuRovKx,13
fGddu zBj,iJggx cEm,3
gppzGrTBxsdDErNSVP,ennxEpRZvqbBCpLQTN,24
kKprQQSUfkYBMtI,lLqsRRTVglZCNuJ,1
coaZmQNs,bnzYlPMr,25
ylrZdAqzGxtaKOLmpE,pciQuRhqXokrBFCdgV,17
ZjKysHjfALQMrJb,VfGuoDfbWHMInFx,22
xuCPV,mjREK,15
KGOTFqGJxRnEVAjshBC,YUCHTeUXlFbSJOxgvPQ,14
xPHdNLXgylFOenewZ,hZRnXVHqivPYoxogJ,10
qHciigbImJeCh AJhT,bSnttrmTxUpNs LUsE,11
HuaLwyeKPBBkDoyZeAkq,SflWhjpVAMMvOzjKpLvb,11
ryKnou,zgSvwc,8
NZKt CvASsOsKlQ,GSDm VoTLlHlDeJ,19
JuTRpYhkpBi k,YjIGeNwzeQx z,15
ysXcRfhbBUVdIXukGOHI,eyDiXlnhHABjODaqMUNO,6
KtbvbOGLvtXgMUey,BksmsFXCmkOxDLvp,17
Ajbg ud,Enfk yh,4
ZLAAECIbLgRYH LmSFo,NZOOSQWpZuFMV ZaGTc,14
iEgIqdV nVziczws,mIkMuhZ rZdmgdaw,4
eZVCDurAqGe,dYUBCtqZpFd,25
pgKFHsouvRldCfar,ctXSUfbhiEyqPsne,13
LpvbBQ ABCyBUgbOnF,QuagGV FGHdGZlgTsK,5
vu nKbtxU lvzwSamSp,dc vSjbfC tdheAiuAx,8
YYovOcfFrQZvdrIrHRW,SSipIwzZlKTpxlClBLQ,20
tZmJOefhZOxUKCrt iM,dJwTYoprJYhEUMbd sW,10
